encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,12250,10208,13833,23250,120,22,31,0.1833,0.2583
TS_2DIFF,GZIP,values,14209,11667,12750,15167,120,120,143,1.0000,1.1917
TS_2DIFF,GZIP,combined,5166,12250,12250,25208,240,146,167,0.6083,0.6958
TS_2DIFF,SNAPPY,timestamps,2208,1041,833,4959,120,22,24,0.1833,0.2000
TS_2DIFF,SNAPPY,values,3041,916,791,5333,120,120,123,1.0000,1.0250
TS_2DIFF,SNAPPY,combined,4333,1125,792,8708,240,146,142,0.6083,0.5917
TS_2DIFF,LZ4,timestamps,2125,1292,750,4167,120,22,23,0.1833,0.1917
TS_2DIFF,LZ4,values,27000,10917,2041,25500,120,120,126,1.0000,1.0500
TS_2DIFF,LZ4,combined,4500,1375,667,13542,240,146,143,0.6083,0.5958
TS_2DIFF,ZLIB,timestamps,4333,5250,2666,5167,120,22,19,0.1833,0.1583
TS_2DIFF,ZLIB,values,2917,7417,2625,8417,120,120,131,1.0000,1.0917
TS_2DIFF,ZLIB,combined,4084,7875,2667,8250,240,146,155,0.6083,0.6458
GORILLA,GZIP,timestamps,29500,19167,18833,41833,120,118,131,0.9833,1.0917
GORILLA,GZIP,values,22166,10083,10375,18750,120,97,120,0.8083,1.0000
GORILLA,GZIP,combined,15667,13417,10417,18625,240,243,261,1.0125,1.0875
GORILLA,SNAPPY,timestamps,8125,958,750,9583,120,118,121,0.9833,1.0083
GORILLA,SNAPPY,values,6958,917,750,8958,120,97,100,0.8083,0.8333
GORILLA,SNAPPY,combined,15459,917,833,17833,240,243,247,1.0125,1.0292
GORILLA,LZ4,timestamps,7625,1333,750,9542,120,118,124,0.9833,1.0333
GORILLA,LZ4,values,6875,1250,750,9416,120,97,103,0.8083,0.8583
GORILLA,LZ4,combined,15208,1416,709,18500,240,243,249,1.0125,1.0375
GORILLA,ZLIB,timestamps,7459,6542,2333,9458,120,118,119,0.9833,0.9917
GORILLA,ZLIB,values,6958,6834,2000,10417,120,97,108,0.8083,0.9000
GORILLA,ZLIB,combined,17500,12958,3250,21583,240,243,249,1.0125,1.0375
RLE,GZIP,timestamps,7833,9583,10333,9916,120,206,77,1.7167,0.6417
RLE,GZIP,values,8083,14125,11875,10291,120,240,197,2.0000,1.6417
RLE,GZIP,combined,15459,15458,10167,19417,240,446,256,1.8583,1.0667
RLE,SNAPPY,timestamps,7459,2500,1083,9833,120,206,98,1.7167,0.8167
RLE,SNAPPY,values,7875,1250,958,10458,120,240,230,2.0000,1.9167
RLE,SNAPPY,combined,26958,1583,1167,19667,240,446,312,1.8583,1.3000
RLE,LZ4,timestamps,8833,1667,792,9375,120,206,81,1.7167,0.6750
RLE,LZ4,values,8083,1667,750,9917,120,240,225,2.0000,1.8750
RLE,LZ4,combined,15666,1791,791,19208,240,446,298,1.8583,1.2417
RLE,ZLIB,timestamps,7500,7417,2292,9417,120,206,65,1.7167,0.5417
RLE,ZLIB,values,2042,11583,4584,10541,120,240,185,2.0000,1.5417
RLE,ZLIB,combined,4000,12750,5292,25000,240,446,244,1.8583,1.0167
